"Story","Title","Result","Date","Stability","Duration (s)"
"Testing different requests on the student application","Check if the student application can be accessed by users","SUCCESS","2017-10-08T15:12:37.032+02:00","0.0","4.25"
"Testing different requests on the student application","Create a new student & verify if the student is added","SUCCESS","2017-10-08T15:12:42.475+02:00","0.0","2.04"
